"College","Control Number","Course ID","TOP Code","Credit Status","Maximum Units","Minimum Units","Basic Skills Status","SAM Status","Prior To Transfer Status","Non-Credit Category","Funding Category","Non-Credit Minimum Hours","Non-Credit Maximum Hours","Issue/Update Date"
"Cabrillo","CCC000360180","KIN-45      ","083500","D","02.00","02.00","N","E","Y","Y","Y",,,"20110209"
"Cabrillo","CCC000360177","TA31        ","100700","D","03.00","02.00","N","E","Y","Y","Y",,,"20180906"
"Cabrillo","CCC000360191","DH-162      ","124020","D","03.00","03.00","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360169","BIO-21      ","040100","D","04.00","04.00","N","E","Y","Y","Y",,,"20101105"
"Cabrillo","CCC000360165","ESL-10      ","493084","D","06.00","06.00","N","E","Y","Y","Y",,,"20100730"
"Cabrillo","CCC000360061","DM-106      ","061400","D","03.00","03.00","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360053","MUS26B      ","100400","D","01.00","01.00","N","E","Y","Y","Y",,,"20180629"
"Cabrillo","CCC000360069","ANAT-27     ","040100","D","03.00","03.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359996","DANCE-61B   ","100800","D","04.00","00.50","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359979","CAOS-163    ","070100","D","03.00","03.00","N","B","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360044","ETECH62     ","092400","D","03.00","03.00","N","D","Y","Y","Y",,,"20180803"
"Cabrillo","CCC000360041","CAOS-138    ","070100","D","03.00","03.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360039","CJ-20       ","210500","D","03.00","03.00","N","C","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360021","HORT-172    ","010900","D","04.00","04.00","N","B","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000360017","FT-6        ","213300","D","03.00","03.00","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359526","CIS-101     ","070800","D","01.00","01.00","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359512","LS-255      ","493032","C","00.50","00.50","N","E","Y","Y","Y",,,"20110105"
"Cabrillo","CCC000359489","ATH-15E     ","083500","D","02.00","02.00","N","E","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359483","BOT-179E    ","070100","D","01.00","01.00","N","B","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359470","CS-19       ","070600","D","04.00","04.00","N","D","Y","Y","Y",,,"20070919"
"Cabrillo","CCC000359471","CIS195      ","070800","D","04.00","04.00","N","C","Y","Y","Y",,,"20180708"
"Cabrillo","CCC000359434","ENGL-48     ","150100","D","03.00","03.00","N","E","Y","Y","Y",,,"20070919"
